gene,log2FC,p_value
PDK4,-0.5741002852643008,0.021830896385999433
SLC22A16,2.125263096460651,0.002691816416730872
ZMYND10,2.03532425516965,0.0012462378326144033
ABCB5,8.073886700427945,0.22721083915532303
ARX,5.601960031543141,0.11107634836675344
SLC25A13,0.2692501836143201,0.07989269852513314
ST7,0.23138579622008115,0.01513198993333554
CDC27,1.0024612008412679,2.7991847278726797e-05
SLC4A1,0.10427172346047456,0.913642660009907
CALCR,0.8608462096471214,0.11607518591006623
HCCS,0.8048639580786571,1.9192950402170886e-09
DVL2,1.6078494448843288,5.444143104814684e-09
PRSS22,-1.3401230363608827,0.20181395308583852
UPF1,1.1060309386483544,3.933596125364467e-08
SKAP2,1.2124795333562906,1.0353416975559052e-05
SLC25A5,0.9463557550628167,1.852673606003937e-09
MCUB,1.097668577079301,0.0164357002366425
HOXA11,7.089420369291823,0.0808493908592085
POLR2J,1.024021131184927,2.1445125036418666e-10
DHX33,0.8470790711942388,2.031867242471388e-06
MEOX1,1.7314780667024607,0.006443589725428268
THSD7A,1.8230601440521124,0.0011160338461867771
LIG3,1.3655326145527409,3.67416333051707e-12
RPAP3,0.9314146902152654,1.1504158389638636e-08
ACSM3,-1.318962485941336,1.3028748506976737e-10
REXO5,2.0800201729676004,4.616115287937679e-05
CIAPIN1,0.9742904770044941,5.5616389412129784e-11
SPPL2B,1.0167297857055224,8.29711628856555e-10
FAM214B,1.0784908449523842,7.530362767904536e-06
COPZ2,0.4303797363189228,0.01332007659431394
PRKAR2B,-0.4255693730359912,0.5717175744577354
MSL3,0.8250273327190085,5.049315043898981e-09
CREBBP,0.715896851578627,7.936833869559614e-06
TSPOAP1,0.4064495153688432,0.06617243719602403
MPO,-0.6675987451238214,0.059505365621750635
PON1,-0.4735401860623727,0.00240630462129631
GCFC2,0.4559866654414908,0.0014782381781842783
WDR54,1.3632154251439652,0.0008670775525558384
CROT,0.6081316205367229,0.003702742448888177
ABCB4,0.2640055372924397,0.3572320891478349
KMT2E,1.012811008143838,2.8518470342003437e-06
RHBDD2,0.9498342015875333,2.713809459794728e-06
SOX8,0.326758671195647,0.40181190463706795
IBTK,0.41966085881691023,0.0022191440951150727
ZNF195,1.1336054264369495,9.979132721833122e-10
